lpa_name,uprn,decision_date,application_type_full,postcode,valid_date,description,lapsed_date,decision_target_date,lpa_app_no,status,site_name,url_planning_app,development_type,decision_process,decision_agency,site_number,application_type,street_name,cil_liability,decision,application_details_building_details,application_details_site_area,application_details_non_residential_details_site_area,application_details_non_residential_details_total_non_resi_gross_internal_floor_area_to_be_lost,application_details_non_residential_details_total_gia_gained,application_details_non_residential_details_total_gia_lost,application_details_non_residential_details_total_non_resi_gross_internal_floor_area_to_be_gained,is_full_planning,uid,floorspace_details_combined
Ealing,000012141030,26/01/2023,Full planning permission,NW10 6PW,14/09/2022,"Provision of external tanks and pump rooms, new external pipe runs and new louvres to existing windows to east elevation; all works ancillary to operation of existing Data Centre (Retrospective Application)",26/01/2026,27/01/2023,224110OPDFUL,Approved,Units 9-12,https://pam.ealing.gov.uk/online-applications/PLAN/224110OPDFUL;,Minor general industry-storage-warehousing,Delegated,Borough,,All Other,Volt Avenue,False,Approved,,0.632,,,,,,True,80,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
OPDC,,25/07/2012,Full planning permission,W3 0TA,,"Hybrid Planning Permission for the Demolition of the existing buildings on the site and full planning permission for the development of a part one/part seven storey building to create a 158 bedroom hotel (C1 use class) with a total Gross Internal Area (GIA) of 6850 square metres on the western part of the site fronting onto the A40 Western Avenue and Masons Green Lane, with associated parking, public realm improvements and landscaping. Redevelopment of remainder of the site (0.4 hectares) to provide employment uses, comprising of an indicative office (B1 use class) and associated landscaping, public realm improvements, car and cycle parking, with an approximate GIA of 1870 square metres and an indicative Data Entry Centre (B8 use) and associated landscaping, car and cycle parking with an approximate GIA of 4980 square metres located towards the rear of the site (Outline Planning Permission - Access being sought with Layout, Scale, Appearance and landscaping matters to be reserved).",25/07/2015,,P/2011/3529,Completed,628,,New Build,,Borough,628,All Other,Western Avenue,,Approved,"[{'no_storeys': None, 'building_ref': None}]",1.453,1.46,12243.0,6850.0,12243.0,8720.0,True,95,"[""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': '10/10/2017', 'gia_gained': 1870, 'use_class': 'B1', 'actual_commencement_date': '25/08/2014', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': '10/10/2017', 'gia_gained': 1870, 'use_class': 'B1c', 'actual_commencement_date': '25/08/2014', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", ""{'gia_existing': -1, 'superseded_date': None, 'actual_completion_date': '10/10/2017', 'gia_gained': 4980, 'use_class': 'B8', 'actual_commencement_date': '25/08/2014', 'superseded_by_lpa_app_no': None, 'gia_lost': 12243}"", nan, nan, nan, nan, nan, nan, nan, nan]"
Ealing,12128080,19/04/2004,Full planning permission,UB5 6AG,,"Change of use from industrial/warehouse (B2/B8) to data storage (sui generis), installation of palnt and enclosure in existing service parking yard, alterations to access, and landscaping",19/04/2009,,P/2004/0759,Completed,Titan,,Change of Use,,Borough,Titan,All Other,Rowdell Road,,Approved,"[{'no_storeys': None, 'building_ref': None}]",,1.35,7150.0,7150.0,7150.0,7150.0,True,97,"[""{'gia_existing': -1, 'superseded_date': None, 'actual_completion_date': '23/05/2006', 'gia_gained': 0, 'use_class': 'B2', 'actual_commencement_date': '01/12/2005', 'superseded_by_lpa_app_no': None, 'gia_lost': 7150}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': '23/05/2006', 'gia_gained': 7150, 'use_class': 'SG', 'actual_commencement_date': '01/12/2005', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", nan, nan, nan, nan, nan, nan, nan, nan, nan]"
OPDC,,07/03/2003,Full planning permission,NW10 6LU,,Change of use from storage/distribution to telecom data centre.,07/03/2008,,P/2002/1702,Completed,55,,Change of Use,,Borough,55,All Other,CHASE ROAD,,Approved,"[{'no_storeys': None, 'building_ref': None}]",,0.001,0.0,11130.0,0.0,11130.0,True,98,"[""{'gia_existing': -1, 'superseded_date': None, 'actual_completion_date': '31/12/2004', 'gia_gained': 11130, 'use_class': 'SG', 'actual_commencement_date': '31/03/2004', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
OPDC,,10/12/2010,Full planning permission,NW10 6PW,,"Change of use of Unit 2 from Storage & Distribution Centre (Use Class B8) to Data Storage Centre (Sui Generis); installation of new internal mezzanine floor, extensions to Unit 1 to create plant and cooling equipment, expansion plant, new curved roof to Unit 2, new offices, delivery block, bridged link between Units 1 & 2, new sub-station building to northern boundary and security fencing",10/12/2013,,PP/2010/3463,Completed,Units 1 & 2 Powergate Business Park,,Change of Use,,Borough,Units 1 & 2 Powergate Business Park,All Other,Volt Avenue,,Approved,"[{'no_storeys': None, 'building_ref': None}]",2.064,3.21,19022.0,31847.0,19022.0,31847.0,True,99,"[""{'gia_existing': -1, 'superseded_date': None, 'actual_completion_date': '01/04/2012', 'gia_gained': 0, 'use_class': 'B8', 'actual_commencement_date': '23/12/2010', 'superseded_by_lpa_app_no': None, 'gia_lost': 19022}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': '01/04/2012', 'gia_gained': 31847, 'use_class': 'SG', 'actual_commencement_date': '23/12/2010', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", nan, nan, nan, nan, nan, nan, nan, nan, nan]"
OPDC,,29/07/2008,Full planning permission,NW10 7ST,,"Installation of generators, chillers, transformers, pump room, fuel tank and electricity substation and formation of refuse storage area within car park and yard of warehouse and erection of replacement and new fencing in conjunction with the use of the warehouse as a data centre (sui-generis use)",29/07/2011,,P/2008/1739,Lapsed,309,,Change of Use,,Borough,309,All Other,Elveden Road,,Approved,"[{'no_storeys': None, 'building_ref': None}]",0.632,0.63,3250.0,4750.0,3250.0,4750.0,True,104,"[""{'gia_existing': -1, 'superseded_date': None, 'actual_completion_date': None, 'gia_gained': 0, 'use_class': 'B8', 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 3250}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': None, 'gia_gained': 4750, 'use_class': 'SG', 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Ealing,,10/08/2011,Full planning permission,UB6 7RL,,"Construction of building to be used as data centre (Use Class Sui-Generis)  with ancillary car parking, substation and switch building, refuse storage, landscaping works and plant area (following demolition of existing buildings)",10/08/2014,,P/2011/2000,Lapsed,Unit 1 & 2 Perivale Industrial Park,,New Build,,Borough,Unit 1 & 2 Perivale Industrial Park,All Other,Horsenden Lane South,,Approved,"[{'no_storeys': None, 'building_ref': None}]",0.002,0.774,7829.0,2775.0,6707.0,2775.0,True,107,"[""{'gia_existing': -1, 'superseded_date': None, 'actual_completion_date': None, 'gia_gained': 0, 'use_class': 'B1', 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 1122}"", ""{'gia_existing': -1, 'superseded_date': None, 'actual_completion_date': None, 'gia_gained': 0, 'use_class': 'B1c', 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 1122}"", ""{'gia_existing': -1, 'superseded_date': None, 'actual_completion_date': None, 'gia_gained': 0, 'use_class': 'B8', 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 5585}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': None, 'gia_gained': 2775, 'use_class': 'SG', 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", nan, nan, nan, nan, nan, nan, nan]"
OPDC,,27/03/2015,Full planning permission,NW10 6PW,,Construction of 280sqm extension to existing building for use as additional data space linked to the existing building by a high level service bridge (involving the removal of 12 car parking spaces and the relocation of the existing waste compound to the eastern site boundary),27/03/2018,,PP/2015/0516,Commenced,Powergate Business Park,,New Build,,Borough,Powergate Business Park,All Other,Volt Avenue,,Approved,"[{'no_storeys': None, 'building_ref': None}]",0.915,0.89,0.0,280.0,0.0,560.0,True,108,"[""{'gia_existing': -1, 'superseded_date': None, 'actual_completion_date': None, 'gia_gained': 280, 'use_class': 'B1', 'actual_commencement_date': '18/01/2016', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", ""{'gia_existing': -1, 'superseded_date': None, 'actual_completion_date': None, 'gia_gained': 280, 'use_class': 'B1c', 'actual_commencement_date': '18/01/2016', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Ealing,000012160167,,Full planning permission,UB2 5LF,07/03/2025,"Site clearance and preparation, including demolition of all existing buildings on site and redevelopment of the site to provide: Construction of four data centre units within three buildings of approximately 67.9m AOD in height (Use Class B8, approximately 158,702sqm GEA), four industrial buildings ranging from approximately 41.3m to 46.2m AOD in height (Use Classes B8, B2 and E(g)(iii), approximately 23,389 GEA), central pavilion building of approximately 35m AOD in height (Use Class E(b), approximately 223 GEA), two substations (38.05m AOD in height), associated plant, enclosures and necessary physical security systems, internal roads, servicing, circulation, car and cycle parking and hard and soft landscaping works.  This application is accompanied by an Environmental Statement for the purposes of Environmental Impact Assessment under The Town and Country Planning (Environmental Impact Assessment) Regulations 2017 (as amended).",,06/06/2025,250949FUL,,International Trading Estate,,,,,,All Other,Trident Way,False,,"[{'no_storeys': 4, 'max_height': 37.4, 'building_ref': 'Data Centres'}, {'no_storeys': 1, 'max_height': 4.6, 'building_ref': 'Security Guardhouse'}, {'no_storeys': 1, 'max_height': 7.55, 'building_ref': 'Substation Enclosure'}, {'no_storeys': 1, 'max_height': 6, 'building_ref': 'Sprinkler Tanks'}, {'no_storeys': 3, 'max_height': 15.5, 'building_ref': 'Industrial Plot A (Union Works)'}, {'no_storeys': 2, 'max_height': 11.3, 'building_ref': 'Industrial Plot B (Boat Yard)'}, {'no_storeys': 2, 'max_height': 15.3, 'building_ref': 'Industrial Plot C (Jam Factory)'}, {'no_storeys': 1, 'max_height': 4.9, 'building_ref': 'Pavilion Buildings'}, {'no_storeys': 1, 'max_height': 5, 'building_ref': 'District Heating Network/ LV Plant Enclosure'}]",0.309,,0.0,179785.0,82756.3,157729.0,True,114,"[""{'gia_existing': 82756.3, 'gia_gained': 21863, 'use_class': 'SpecifiedOther', 'gia_lost': 82756.3}"", ""{'gia_existing': 0, 'gia_gained': 193, 'use_class': 'EB', 'gia_lost': 0}"", ""{'gia_existing': 0, 'gia_gained': 157729, 'use_class': 'B8', 'gia_lost': 0}"", nan, nan, nan, nan, nan, nan, nan, nan]"
Enfield,,04/09/2001,Full planning permission,EN3,,Redevelopment of site by the demolition of existing industrial unit and erection of a data centre.,04/09/2006,,TP001640,Completed,59,,New Build,,Borough,59,All Other,LOCKFIELD AVENUE,,Approved,"[{'no_storeys': None, 'building_ref': None}]",0.222,0.001,2075.0,4562.0,2075.0,4562.0,True,118,"[""{'gia_existing': -1, 'superseded_date': None, 'actual_completion_date': '28/02/2002', 'gia_gained': 0, 'use_class': 'B2', 'actual_commencement_date': '31/12/2001', 'superseded_by_lpa_app_no': None, 'gia_lost': 2075}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': '28/02/2002', 'gia_gained': 4562, 'use_class': 'SG', 'actual_commencement_date': '31/12/2001', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Greenwich,10010220020,05/03/2024,Full planning permission,,25/10/2023,"Temporary planning permission is sought for a period of five (5) years for the change of use of an existing warehouse from a data centre (Use Class B8)ÿ to a laundry facility (Use Class B2) to include the removal of ventilation units, installation of a water storage unit, full refurbishment of the interior fit out, installation of new windows to northern facade for proposed office space, ventilation flues for boiler units and associated cycle parking",,15/01/2024,23/2981/F,Withdrawn,"ANCHORAGE POINT, 90 ANCHOR AND HOPE LANE, CHARLTON, SE7 7SQ",https://planning.royalgreenwich.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_GRNW_DCAPR_117441&activeTab=summary,,,,,All Other,,False,Withdrawn,,0.489,,0.0,0.0,0.0,0.0,True,122,"[""{'gia_existing': 2295, 'superseded_date': None, 'actual_completion_date': None, 'gia_gained': 0, 'use_class': 'B2', 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
LLDC,,20/03/2014,Full planning permission,E9,,"13/00534/FUM: Modification and changes of use to the International Broadcast Centre (IBC) (including retention of the Gantry on Waterden Road) to provide flexible business/studio floorspace (Class B1), data centre (Class B8), education space (Class D1); creation of new floorspace in the Gantry for flexible uses (Classes B1/A1, A3, A4, A5); creation of mezzanines (Classes B1 and B8); retention of the Main Media Conference Room (MMCR) to provide a conference space (Class D2); retention of bridge structures; external alterations to the buildings; use of up to 307 spaces in the Multi Storey Car Park (MSCP) to serve the IBC and MMCR;  cycle parking; landscape and public realm; use of central open space, including events; pedestrian and vehicular access; servicing; minor highway works within the application boundary; installation of plant and equipment; and associated works.   13/00536/COU: Modification of the Main Press Centre comprising: external alterations to the building; introduction of retail canopies; changes of use of parts of the building from use classes B1(a), B1(b), B1(c), B2 or B8 to conference space (Class D2) and for retail uses (Class A1, A3, A4, A5); servicing, pedestrian and vehicular access; and associated works.",20/03/2017,,13/00534/FUM/13/00536/COU,Completed,,,Change of Use,,London Legacy Development Corporation,,All Other,Waterden Road,,Approved,"[{'no_storeys': None, 'building_ref': None}]",8.194,11.57,92305.0,115755.0,92305.0,164990.0,True,125,"[""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': '10/10/2016', 'gia_gained': 1576, 'use_class': 'A1', 'actual_commencement_date': '20/08/2014', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': '10/10/2016', 'gia_gained': 1576, 'use_class': 'A3', 'actual_commencement_date': '20/08/2014', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': '10/10/2016', 'gia_gained': 1576, 'use_class': 'A4', 'actual_commencement_date': '20/08/2014', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': '10/10/2016', 'gia_gained': 1576, 'use_class': 'A5', 'actual_commencement_date': '20/08/2014', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': '10/10/2016', 'gia_gained': 49235, 'use_class': 'B1', 'actual_commencement_date': '20/08/2014', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': '10/10/2016', 'gia_gained': 24617, 'use_class': 'B1a', 'actual_commencement_date': '20/08/2014', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': '10/10/2016', 'gia_gained': 24618, 'use_class': 'B1b', 'actual_commencement_date': '20/08/2014', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': '10/10/2016', 'gia_gained': 36244, 'use_class': 'B8', 'actual_commencement_date': '20/08/2014', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': '10/10/2016', 'gia_gained': 9043, 'use_class': 'D1', 'actual_commencement_date': '20/08/2014', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': '10/10/2016', 'gia_gained': 3420, 'use_class': 'D2', 'actual_commencement_date': '20/08/2014', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", ""{'gia_existing': -1, 'superseded_date': None, 'actual_completion_date': '10/10/2016', 'gia_gained': 11509, 'use_class': 'SG', 'actual_commencement_date': '20/08/2014', 'superseded_by_lpa_app_no': None, 'gia_lost': 92305}""]"
Havering,,06/10/2023,Full planning permission,RM7 7PN,11/08/2023,Change of use of building from manufacturing to plant and machinery facility ancillary to the main data centre use and associated external alterations.,06/10/2026,06/10/2023,P1251.23,Approved,"3 King George Close, Romford",http://development.havering.gov.uk/OcellaWeb/planningDetails?reference=P1251.23,,Delegated,Borough,,All Other,London,False,Approved,,0.544,,0.0,31.5,0.0,31.5,True,130,"[""{'gia_existing': 460, 'use_class': 'B8', 'gia_gained': 31.5, 'gia_lost': 0}"", nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Havering,10091577711,14/01/2021,,RM7 7PN,05/05/2020,New data storage development consisting of new data storage warehouse and new emergency  energy centre building P1137.11 (Condition 4),14/01/2024,15/01/2021,P0614.20,Approved,5 King George Close,http://development.havering.gov.uk/OcellaWeb/planningDetails?reference=P0614.20,,Delegated,Borough,,All Other,Romford,False,Approved,,1.598,,0.0,,,0.0,True,132,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Havering,,23/01/2012,Full planning permission,RM7 7PN,,New data storage development consisting of new data storage warehouse and new emergency energy centre building.,23/01/2015,,P1137.11,Lapsed,Former Hubbinet Industrial Estate,,New Build,,Borough,Former Hubbinet Industrial Estate,All Other,King George Close,,Approved,"[{'no_storeys': None, 'building_ref': None}]",1.552,1.553,15300.0,11585.0,15300.0,12540.0,True,134,"[""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': None, 'gia_gained': 955, 'use_class': 'B1', 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': None, 'gia_gained': 955, 'use_class': 'B1a', 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", ""{'gia_existing': -1, 'superseded_date': None, 'actual_completion_date': None, 'gia_gained': 0, 'use_class': 'B2', 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 15300}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': None, 'gia_gained': 10630, 'use_class': 'SG', 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", nan, nan, nan, nan, nan, nan, nan]"
Havering,10096015992,26/11/2025,Full planning permission,RM7 7PN,17/09/2025,Erection of a rear extension to the existing data centre to provide a goods lift and modular loading bay,26/11/2028,26/11/2025,P1169.25,Approved,3 King George Close,http://development.havering.gov.uk/OcellaWeb/planningDetails?reference=P1169.25,,Delegated,Borough,,All Other,Romford,False,Approved,,0.59,,0.0,292.5,0.0,292.5,True,136,"[""{'gia_existing': 0, 'use_class': 'B8', 'gia_gained': 292.5, 'gia_lost': 0}"", nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Hillingdon,,26/04/2022,Full planning permission,,10/11/2021,"Redevelopment of the site to deliver data centre campus including: two data centre buildings (Use Class B8); associated energy and electricity infrastructure, buildings, and plant; security gatehouse, systems and enclosures; works to the highway, car parking and cycle parking; hard and soft landscaping; as well as associated infrastructure, ancillary office use, and associated external works.",26/04/2025,17/06/2022,38421/APP/2021/4045,Approved,LAND AT TUDOR WORKS,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=38421/APP/2021/4045,,Committee,Borough,,All Other,BEACONSFIELD ROAD,True,Approved,"[{'no_storeys': 5, 'max_height': 35.6, 'building_ref': 'Building 1'}, {'no_storeys': 5, 'max_height': 35.6, 'building_ref': 'Building 2'}, {'no_storeys': 2, 'max_height': 15.65, 'building_ref': 'Sub Station'}, {'no_storeys': 1, 'max_height': 3, 'building_ref': 'Gate House'}, {'no_storeys': 1, 'max_height': 7, 'building_ref': 'Tank Room'}]",2.229,,13530.0,38355.0,13530.0,38355.0,True,138,"[""{'gia_existing': 7245, 'superseded_date': None, 'actual_completion_date': None, 'use_class': 'B2', 'gia_gained': 0, 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 7245}"", ""{'gia_existing': 6285, 'superseded_date': None, 'actual_completion_date': None, 'use_class': 'B8', 'gia_gained': 38355, 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 6285}"", nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Hillingdon,,20/12/2022,Full planning permission,UB7 9FN,10/02/2022,"Installation of plant and equipment to unit DC6 including external plant equipment, external louvres and associated security fencing and landscaping, to facilitate use of the building as a data centre.",20/12/2025,12/08/2022,18399/APP/2022/411,Approved,UNIT D PROLOGIS PARK,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=18399/APP/2022/411,,Committee,Borough,,All Other,STOCKLEY ROAD,False,Approved,"[{'no_storeys': 1, 'max_height': 12.5, 'building_ref': 'Plant and equipment'}]",1.975,,0.0,0.0,0.0,0.0,True,273,"[""{'gia_existing': 9466, 'superseded_date': None, 'actual_completion_date': None, 'use_class': 'B8', 'gia_gained': 0, 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Hillingdon,,13/10/2020,Full planning permission,UB3 4QQ,24/06/2020,"Site clearance and preparation, including the demolition of remaining buildings, and the redevelopment of the site to provide: a new data centre (Use Class B8), two MV Energy Centres (including stand-by generation plant and gas storage), a HV Sub-Station, a visitor reception centre, plant, the creation of a new footpath and cycleway link to the canal towpath, works to the highway, car parking, cycle parking, associated infrastructure, enclosures and necessary physical security systems, hard and soft landscaping (including works to the River Crane) and ancillary uses, as well as associated external works.",13/10/2023,15/04/2021,75111/APP/2020/1955,Commenced,Land at Bulls Bridge Industrial Estate,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=75111/APP/2020/1955,New Build,Committee,Borough,,All Other,NORTH HYDE GARDENS,True,Approved,,5.456,5.35,800.0,,,62926.0,True,312,"[""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': None, 'use_class': 'B8', 'gia_gained': 62926, 'actual_commencement_date': '04/02/2021', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", ""{'gia_existing': 800, 'superseded_date': None, 'actual_completion_date': None, 'use_class': 'B2', 'gia_gained': 0, 'actual_commencement_date': '04/02/2021', 'superseded_by_lpa_app_no': None, 'gia_lost': 800}"", nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Hillingdon,,19/03/2025,Full planning permission,,08/01/2025,Redevelopment of the site to deliver a substation in connection with the permitted and emerging Data Centre Campus.,19/03/2028,21/03/2025,71554/APP/2025/47,Approved,UNIT 1 HEATHROW INTERCHANGE,http://planning.hillingdon.gov.uk/OcellaWeb/planningDetails?reference=71554/APP/2025/47,,Delegated,Borough,,All Other,BULLSBROOK ROAD,True,Approved,"[{'no_storeys': 2, 'max_height': 12.41, 'building_ref': 'Control Room'}, {'no_storeys': 1, 'max_height': 9.1, 'building_ref': 'Transformer Block'}]",0.385055,,2200.0,240.0,2200.0,240.0,True,324,"[""{'gia_existing': 2200, 'gia_gained': 0, 'use_class': 'B8', 'gia_lost': 2200}"", ""{'gia_existing': 0, 'gia_gained': 240, 'use_class': 'SG', 'gia_lost': 0}"", nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Hillingdon,,30/01/2007,Full planning permission,UB11,,"ERECTION OF A DATA CENTRE WITH ANCILLARY PLANT INCLUDING A SUBSTATION, CAR PARKING, LANDSCAPING AND ASSOCIATED ANCILLARY WORKS.",30/01/2010,,37977/APP/2006/795,Lapsed,"PLOT 3, STOCKLEY PARK (PHASE 3)",,New Build,,Borough,"PLOT 3, STOCKLEY PARK (PHASE 3)",All Other,HORTON ROAD,,Approved,"[{'no_storeys': None, 'max_height': None, 'building_ref': None}]",1.321,1.36,0.0,18135.0,0.0,18135.0,True,325,"[""{'gia_existing': -1, 'superseded_date': None, 'actual_completion_date': None, 'gia_gained': 0, 'use_class': 'B8', 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': None, 'gia_gained': 18135, 'use_class': 'SG', 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Hillingdon,,28/06/2018,Full planning permission,UB3 4QG,,"Part demolition of existing factory buildings and associated structures, and redevelopment to provide 1,386 dwellings (Use Class C3). office, retail, community and leisure uses (Use Class A1/A3/A4/B1/B8/D1/D2), 22,663sq.m (GEA) of commercial floorspace (Use Classes B1c/B2/B8 and Data Centre (sui generis)), amenity and playspace, landscaping, allotments, access, service yards, associated car parking and other engineering works.",28/06/2021,,1331/APP/2017/1883,Superseded,Former Nestle Factory,,New Build,,Borough,Former Nestle Factory,All Other,Nestles Avenue,,Approved,"[{'no_storeys': 11, 'building_ref': None}]",12.299,5.1,91000.0,74655.0,91000.0,98429.0,True,331,"[""{'gia_existing': 0, 'superseded_date': '09/03/2020', 'actual_completion_date': None, 'gia_gained': 1111, 'use_class': 'A1', 'actual_commencement_date': '10/12/2018', 'superseded_by_lpa_app_no': '1331/APP/2019/1708', 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': '09/03/2020', 'actual_completion_date': None, 'gia_gained': 1111, 'use_class': 'A2', 'actual_commencement_date': '10/12/2018', 'superseded_by_lpa_app_no': '1331/APP/2019/1708', 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': '09/03/2020', 'actual_completion_date': None, 'gia_gained': 1111, 'use_class': 'A3', 'actual_commencement_date': '10/12/2018', 'superseded_by_lpa_app_no': '1331/APP/2019/1708', 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': '09/03/2020', 'actual_completion_date': None, 'gia_gained': 23774, 'use_class': 'B1', 'actual_commencement_date': '10/12/2018', 'superseded_by_lpa_app_no': '1331/APP/2019/1708', 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': '09/03/2020', 'actual_completion_date': None, 'gia_gained': 1111, 'use_class': 'B1a', 'actual_commencement_date': '10/12/2018', 'superseded_by_lpa_app_no': '1331/APP/2019/1708', 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': '09/03/2020', 'actual_completion_date': None, 'gia_gained': 22663, 'use_class': 'B1c', 'actual_commencement_date': '10/12/2018', 'superseded_by_lpa_app_no': '1331/APP/2019/1708', 'gia_lost': 0}"", ""{'gia_existing': -1, 'superseded_date': '09/03/2020', 'actual_completion_date': None, 'gia_gained': 22663, 'use_class': 'B2', 'actual_commencement_date': '10/12/2018', 'superseded_by_lpa_app_no': '1331/APP/2019/1708', 'gia_lost': 91000}"", ""{'gia_existing': 0, 'superseded_date': '09/03/2020', 'actual_completion_date': None, 'gia_gained': 22663, 'use_class': 'B8', 'actual_commencement_date': '10/12/2018', 'superseded_by_lpa_app_no': '1331/APP/2019/1708', 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': '09/03/2020', 'actual_completion_date': None, 'gia_gained': 1111, 'use_class': 'D1', 'actual_commencement_date': '10/12/2018', 'superseded_by_lpa_app_no': '1331/APP/2019/1708', 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': '09/03/2020', 'actual_completion_date': None, 'gia_gained': 1111, 'use_class': 'D2', 'actual_commencement_date': '10/12/2018', 'superseded_by_lpa_app_no': '1331/APP/2019/1708', 'gia_lost': 0}"", nan]"
